Time,Open,High,Low,Close,Volume
2001-06-08,0.8504,0.8515,0.8457,0.8503,4596
2001-06-10,0.8498,0.8504,0.8492,0.8493,424
2001-06-11,0.8494,0.8537,0.841,0.8428,5492
2001-06-12,0.8428,0.8536,0.8413,0.8521,5616
2001-06-13,0.8522,0.8564,0.8509,0.8548,5624
2001-06-14,0.8548,0.8632,0.8485,0.8626,5668
2001-06-15,0.8626,0.8671,0.8598,0.8616,4700
2001-06-17,0.8628,0.8632,0.8623,0.8625,380
2001-06-18,0.8625,0.8639,0.8573,0.8597,5636
2001-06-19,0.8598,0.8599,0.8525,0.8535,5640
2001-06-20,0.8535,0.8555,0.8495,0.8542,5676
2001-06-21,0.8542,0.8579,0.8514,0.8541,5616
2001-06-22,0.8541,0.8573,0.8509,0.8565,4616
2001-06-24,0.8566,0.8569,0.8564,0.8567,428
2001-06-25,0.8568,0.8622,0.8563,0.8589,5600
2001-06-26,0.8589,0.8649,0.8589,0.8629,5632
2001-06-27,0.8629,0.8657,0.8585,0.8595,5676
2001-06-28,0.8595,0.8611,0.843,0.844,5736
2001-06-29,0.844,0.8493,0.8435,0.8493,4648
2001-07-01,0.8504,0.8504,0.8492,0.8498,444
2001-07-02,0.8498,0.8498,0.844,0.8469,5584
2001-07-03,0.8468,0.8499,0.8453,0.8471,5700
2001-07-04,0.8471,0.8483,0.8433,0.8463,4508
2001-07-05,0.8463,0.8472,0.8352,0.8365,5584
2001-07-06,0.8365,0.8475,0.835,0.8469,4684
2001-07-08,0.8467,0.8471,0.8463,0.8469,392
2001-07-09,0.8469,0.8515,0.8444,0.851,5640
2001-07-10,0.8511,0.8571,0.8489,0.855,5636
2001-07-11,0.8551,0.8639,0.853,0.8563,5636
2001-07-12,0.8563,0.8577,0.8506,0.8523,5620
2001-07-13,0.8523,0.8558,0.8508,0.8544,4568
2001-07-15,0.854,0.8547,0.8538,0.8546,396
2001-07-16,0.8546,0.8589,0.8515,0.8519,5328
2001-07-17,0.8519,0.8609,0.849,0.8592,5544
2001-07-18,0.8592,0.874,0.8569,0.8722,5564
2001-07-19,0.8722,0.8777,0.8679,0.8714,5504
2001-07-20,0.8714,0.8784,0.8701,0.8715,4544
2001-07-22,0.8704,0.8706,0.8701,0.8701,324
2001-07-23,0.8701,0.8713,0.8652,0.8692,5344
2001-07-24,0.8692,0.8769,0.8686,0.8732,5440
2001-07-25,0.8732,0.8811,0.8715,0.88,5232
2001-07-26,0.88,0.8821,0.8745,0.8774,5320
2001-07-27,0.8774,0.8803,0.8723,0.8767,4584
2001-07-29,0.8762,0.8766,0.8758,0.8762,324
2001-07-30,0.8762,0.8771,0.8722,0.8737,5244
2001-07-31,0.8737,0.8777,0.8723,0.8765,5428
2001-08-01,0.8765,0.8828,0.8759,0.8809,5288
2001-08-02,0.8809,0.8838,0.8783,0.8829,5272
2001-08-03,0.8829,0.8873,0.8774,0.8837,4504
2001-08-05,0.8829,0.8831,0.8826,0.8828,292
2001-08-06,0.8828,0.8828,0.8784,0.8808,5164
2001-08-07,0.8808,0.8809,0.8751,0.8762,5116
2001-08-08,0.8762,0.8816,0.874,0.8809,5320
2001-08-09,0.8809,0.8938,0.88,0.8914,5404
2001-08-10,0.8914,0.8957,0.8909,0.8934,4440
2001-08-12,0.8936,0.894,0.8932,0.8932,268
2001-08-13,0.8932,0.9006,0.8921,0.8972,5184
2001-08-14,0.8972,0.9034,0.8938,0.9021,5344
2001-08-15,0.9021,0.9148,0.902,0.9131,5532
2001-08-16,0.9132,0.9198,0.909,0.9113,5500
