Time,Open,High,Low,Close,Volume
2001-01-02 20:00:00,0.9507,0.9509,0.9505,0.9506,176
2001-01-03 00:00:00,0.9506,0.951,0.9492,0.9503,908
2001-01-03 04:00:00,0.9503,0.9513,0.9468,0.9489,936
2001-01-03 08:00:00,0.949,0.9569,0.9489,0.9547,948
2001-01-03 12:00:00,0.9548,0.9549,0.9444,0.9462,960
2001-01-03 16:00:00,0.946,0.9477,0.9273,0.9288,956
2001-01-03 20:00:00,0.929,0.9297,0.9262,0.9283,908
2001-01-04 00:00:00,0.9283,0.9308,0.9283,0.9301,940
2001-01-04 04:00:00,0.93,0.9416,0.929,0.9416,948
2001-01-04 08:00:00,0.9414,0.9515,0.9414,0.9465,960
2001-01-04 12:00:00,0.9464,0.9477,0.9421,0.9442,960
2001-01-04 16:00:00,0.9443,0.9512,0.9432,0.9496,940
2001-01-04 20:00:00,0.9497,0.9536,0.9482,0.9532,928
2001-01-05 00:00:00,0.9532,0.9549,0.9523,0.9541,956
2001-01-05 04:00:00,0.9541,0.9591,0.953,0.9568,960
2001-01-05 08:00:00,0.9569,0.957,0.952,0.9542,960
2001-01-05 12:00:00,0.9543,0.9549,0.9464,0.9517,960
2001-01-05 16:00:00,0.9516,0.9577,0.9506,0.9574,936
2001-01-05 20:00:00,0.9577,0.9582,0.9571,0.9575,188
2001-01-07 20:00:00,0.9583,0.9585,0.9576,0.9584,216
2001-01-08 00:00:00,0.9584,0.9585,0.9563,0.9566,928
2001-01-08 04:00:00,0.9566,0.9588,0.9554,0.9563,912
2001-01-08 08:00:00,0.9562,0.9563,0.9494,0.95,960
2001-01-08 12:00:00,0.9501,0.9516,0.9467,0.9506,960
2001-01-08 16:00:00,0.9506,0.9509,0.9475,0.9496,944
2001-01-08 20:00:00,0.9498,0.9505,0.9459,0.9464,948
2001-01-09 00:00:00,0.9464,0.9468,0.9439,0.9442,948
2001-01-09 04:00:00,0.9442,0.9477,0.9434,0.9464,924
2001-01-09 08:00:00,0.9463,0.9467,0.9385,0.9391,960
2001-01-09 12:00:00,0.9392,0.9428,0.9391,0.9404,956
2001-01-09 16:00:00,0.9404,0.944,0.9384,0.9437,908
2001-01-09 20:00:00,0.9437,0.9451,0.9432,0.9434,864
2001-01-10 00:00:00,0.9434,0.9439,0.9402,0.9425,960
2001-01-10 04:00:00,0.9425,0.9464,0.9411,0.9433,944
2001-01-10 08:00:00,0.9434,0.9439,0.9387,0.9412,960
2001-01-10 12:00:00,0.9412,0.9414,0.9376,0.941,960
2001-01-10 16:00:00,0.941,0.9433,0.9378,0.939,948
2001-01-10 20:00:00,0.9391,0.9394,0.9361,0.9366,808
2001-01-11 00:00:00,0.9366,0.9409,0.9366,0.9406,920
2001-01-11 04:00:00,0.9406,0.9426,0.9391,0.9408,812
2001-01-11 08:00:00,0.9407,0.9518,0.9404,0.9512,952
2001-01-11 12:00:00,0.9512,0.9532,0.9488,0.9506,960
2001-01-11 16:00:00,0.9507,0.9549,0.9497,0.9519,928
2001-01-11 20:00:00,0.952,0.9531,0.9507,0.951,880
2001-01-12 00:00:00,0.951,0.9535,0.9506,0.9535,956
2001-01-12 04:00:00,0.9535,0.9575,0.953,0.9543,960
2001-01-12 08:00:00,0.9544,0.9561,0.9504,0.953,960
2001-01-12 12:00:00,0.9529,0.9555,0.9468,0.9484,956
2001-01-12 16:00:00,0.9485,0.9531,0.9473,0.952,928
2001-01-12 20:00:00,0.952,0.9523,0.9508,0.9508,176
2001-01-14 20:00:00,0.9521,0.9521,0.9502,0.9502,224
